event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1961-1970,1971-1980,4.764730145089494,0.008,2,"1971-1980,1981-1990",consecutive
1,1981-1990,1991-2000,4.45537636066469,0.024,1,1991-2000,consecutive
2,2001-2010,2011-2018,3.7344123073519593,0.023,1,2011-2018,consecutive
3,1911-1920,1941-1950,4.935093950309241,0.013,3,"1921-1930,1931-1940,1941-1950",sudden_shift
4,1911-1920,1951-1960,4.77447802361029,0.037,4,"1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
5,1911-1920,1961-1970,5.764893160745217,0.0,5,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
6,1921-1930,1941-1950,5.747801780183391,0.016,2,"1931-1940,1941-1950",sudden_shift
7,1921-1930,1951-1960,5.6041826035505125,0.036,3,"1931-1940,1941-1950,1951-1960",sudden_shift
8,1921-1930,1961-1970,6.909596760248845,0.0,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
9,1931-1940,1961-1970,4.436552281716404,0.006,3,"1941-1950,1951-1960,1961-1970",sudden_shift
