embedding_dim,drift_magnitude
0,0.05569665300741413
1,2.113021304135927
2,8.189697318035568
3,2.0884278671529346
4,0.2312262122083833
5,1.0591548049018975
6,0.7301902654501966
7,23.399592363248644
8,0.7092937632157229
9,66.81014182468434
10,1.2367006158760052
11,2.8618159760819832
12,0.38077151906232254
13,12.029556816324146
14,10.911979724811205
15,3.6544996256109927
16,2.4415626679370535
17,2.6334503041624533
18,15.842637307189483
19,0.3448645537558548
20,0.6252679511384871
21,1.8304582452013953
22,13.30721997750846
23,2.929099395994176
24,8.93478583839529
25,2.049591887024927
26,0.5372814307353717
27,22.324836318784648
28,2.152046331998764
29,10.814260353487569
30,2.655635256565939
31,0.8666294006375793
32,26.874692070625642
33,1.890242691977535
34,0.3246344439465726
35,2.5808566551269156
36,1.9526830463923426
37,0.55352375622506
38,9.6777002522636
39,6.502069207237219
40,2.181561458765385
41,2.6363666508756802
42,1.593169269219432
43,1.3952278410495997
44,15.400583031595442
45,2.8699319276397564
46,1.020341115830003
47,2.982998648096832
48,1.1174902519667274
49,0.6737169532872842
50,0.551568852396361
51,1.278017656938011
52,1.531727507749195
53,0.8926142143849582
54,4.818972216605956
55,2.4386064121145274
56,19.832667577180615
57,0.8083427591050154
58,1.982606205765019
59,5.114289749707748
60,0.9730842608402152
61,1.1184326963633502
62,1.4342709767884332
63,1.5151653061269827
64,0.4393777995920913
65,0.7814447942584408
66,2.9198877936235963
67,12.81088972997371
68,1.0575079939922771
69,2.073963159411562
70,2.819691843269007
71,4.9047532027625635
72,1.9078772609925578
73,2.001073986104865
74,1.6160717618510236
75,1.6617830821444037
76,0.6709138521397547
77,1.433766307008829
78,2.7787868552488653
79,2.0439252049485237
80,3.5729128810912023
81,1.4093507394167637
82,1.3061033287316215
83,4.8637033517956745
84,2.08155268086629
85,2.3175678776352946
86,2.0416774140174967
87,1.085195439186628
88,6.053458617059822
89,1.797441965015201
90,1.0627743156265115
91,2.427053431777233
92,2.01628441369608
93,2.252709504537549
94,0.748858406162025
95,1.3334282342213808
96,1.5512424938334863
97,1.1354114861013693
98,3.1217903554339643
99,0.5951052864650591
100,1.261547600489734
101,1.4536247898746002
102,1.9518698400569163
103,2.024313171498665
104,3.088544091445421
105,1.801472888468921
106,1.8647228966598466
107,1.980919537123102
108,1.7665177875911902
109,1.7822819847795377
110,1.4825075418155134
111,2.492000668306789
112,2.115973826935082
113,2.0825819283666194
114,1.4246036265958097
115,2.049107306272805
116,2.3358633936282818
117,4.469706474121283
118,1.5225161869994304
119,5.319461503553801
120,0.6847343515624097
121,1.0015092679595603
122,1.1178716898559486
123,1.2454138760514692
124,2.4579031217156753
125,2.5380997392464297
126,1.645874789159138
127,2.1518042821103522
128,1.69893042703269
129,1.0134491222543247
130,3.342683766515165
131,1.5686255876155029
132,1.8628571535299103
133,0.9138961055936262
134,2.1105257120038425
135,1.74259765671841
136,2.3943414828145366
137,1.724761978172631
138,1.699029799812051
139,1.8186904392321592
140,0.7216220656284964
141,1.420168550592307
142,1.17698080702846
143,1.5796819928015828
144,2.234898694347415
145,1.8704063496545347
146,2.565457178865276
147,2.5995256055232483
148,1.5828504747978798
149,1.9766655876702022
150,1.7737356699886384
151,1.2521028655515662
152,1.8443791140372023
153,2.4792196271433564
154,1.9093826105221354
155,1.9559053590463449
156,1.6142067528897674
157,2.042000496152803
158,2.491015245212331
159,1.3644887481796724
160,1.4577157648829406
161,1.277623989736973
162,3.9923928562303233
163,12.31264086695463
164,1.3461201513003682
165,2.1253258663626546
166,4.400162379410428
167,1.0730287174819588
168,2.30903606648253
169,1.4183789057766654
170,1.1813979392811667
171,2.6764125117279893
172,1.8187895070199698
173,1.3260101657213144
174,2.072339921525782
175,1.3118316854594756
176,1.649900141263357
177,1.685778347990518
178,1.6804087647496426
179,2.6260962097011036
180,1.067137531778328
181,2.8480693360894143
