event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1981-1990,1991-2000,3.034093636575738,0.016,2,"1991-2000,2001-2010",consecutive
1,1901-1910,1981-1990,3.944719639641774,0.007,8,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
2,1911-1920,1981-1990,3.6381608964495578,0.045,7,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
3,1921-1930,1981-1990,3.0605015806588867,0.01,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
4,1961-1970,1981-1990,2.868914536090865,0.026,2,"1971-1980,1981-1990",sudden_shift
