timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,2011-2018,11,70.09459201478549,0.0
1911-1920,2011-2018,10,79.75878488490012,0.0
1921-1930,2011-2018,9,87.62258947052813,0.0
1931-1940,2011-2018,8,101.34896245892192,0.0
1951-1960,2011-2018,6,76.5297980118211,0.0
1941-1950,2011-2018,7,92.17135445054716,0.0
1971-1980,2011-2018,4,90.35638402179507,0.0
1961-1970,2011-2018,5,80.1946357328199,0.0
2001-2010,2011-2018,1,78.69696323983203,0.001
1981-1990,2011-2018,3,69.982876867859,0.005
1991-2000,2011-2018,2,80.89582120807911,0.007
1901-1910,1931-1940,3,47.106968620057785,0.03
1931-1940,1981-1990,5,47.13296124848332,0.049
