,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.468,0.939,0.81,0.976,0.918,0.716,1.0,0.948,1.0,0.993
1921-1930,0.468,0.0,0.282,0.338,0.589,0.245,0.243,0.439,0.33,0.56,0.33
1931-1940,0.939,0.282,0.0,0.704,0.417,0.097,0.312,0.512,0.505,0.487,0.205
1941-1950,0.81,0.338,0.704,0.0,0.95,0.719,0.832,0.958,0.768,0.897,0.706
1951-1960,0.976,0.589,0.417,0.95,0.0,0.795,0.424,0.938,0.477,0.632,0.706
1961-1970,0.918,0.245,0.097,0.719,0.795,0.0,0.071,0.91,0.124,0.26,0.662
1971-1980,0.716,0.243,0.312,0.832,0.424,0.071,0.0,0.569,0.242,0.401,0.071
1981-1990,1.0,0.439,0.512,0.958,0.938,0.91,0.569,0.0,0.67,0.88,0.818
1991-2000,0.948,0.33,0.505,0.768,0.477,0.124,0.242,0.67,0.0,0.499,0.153
2001-2010,1.0,0.56,0.487,0.897,0.632,0.26,0.401,0.88,0.499,0.0,0.317
2011-2018,0.993,0.33,0.205,0.706,0.706,0.662,0.071,0.818,0.153,0.317,0.0
