synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s41951,kurs,1911-1920,1921-1930,0.7191982638746404,0.0567228676212309
s41951,kurs,1921-1930,1931-1940,0.5603977720737774,0.03361894394036648
s41951,kurs,1931-1940,1941-1950,0.5572575904024494,0.04860199321248878
s41951,kurs,1941-1950,1951-1960,1.4570231348254878,0.10037682214025423
s41951,kurs,1951-1960,1961-1970,0.2643430148438495,0.05237815996531442
s41951,kurs,1961-1970,1971-1980,0.4407742156304524,0.06635490375776752
s41951,kurs,1971-1980,1981-1990,0.34652767621332575,0.05593538337745557
s41951,kurs,1981-1990,1991-2000,1.4704125301611488,0.26547950396809417
s41951,kurs,1991-2000,2001-2010,0.1086602021918521,0.05660026374713904
