event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,9.739970217243254,0.018,2,"1911-1920,1921-1930",consecutive
1,1911-1920,1921-1930,15.135814939473248,0.032,3,"1921-1930,1931-1940,1941-1950",consecutive
2,1921-1930,1991-2000,15.040531521319885,0.011,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
3,1921-1930,2001-2010,14.782982751139135,0.008,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
4,1921-1930,2011-2018,16.001135401579106,0.026,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
5,1931-1940,2001-2010,9.919888198167316,0.013,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
6,1931-1940,2011-2018,11.25873655567023,0.009,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1941-1950,1991-2000,17.01340994316633,0.002,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
8,1941-1950,2001-2010,17.420326915588763,0.009,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
9,1941-1950,2011-2018,18.191080619200388,0.033,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
