synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s9650,bank,1901-1910,1911-1920,0.13214443163027584,1.2136738663550843
s9650,bank,1911-1920,1921-1930,0.025448069087281363,0.34211362547159796
s9650,bank,1921-1930,1931-1940,0.027719284395659127,0.24450829344206276
s9650,bank,1931-1940,1941-1950,0.07583338239735582,0.2309164457206067
s9650,bank,1941-1950,1951-1960,0.06550514341283176,0.10762682260341372
s9650,bank,1951-1960,1961-1970,0.022160660007394025,0.28824960712573705
s9650,bank,1961-1970,1971-1980,0.06129154363988695,0.15091613382947028
s9650,bank,1971-1980,1981-1990,0.09392707359826126,0.17792622439531514
s9650,bank,1981-1990,1991-2000,0.13226620532533032,0.3428233848449885
s9650,bank,1991-2000,2001-2010,0.06176054969158381,1.4931670541468671
