,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.249,0.567,0.816,0.491,0.86,0.343,0.129,0.79,0.945,0.358
1911-1920,0.249,0.0,0.464,0.139,0.259,0.264,0.184,0.296,0.106,0.263,0.016
1921-1930,0.567,0.464,0.0,0.414,0.151,0.433,0.269,0.416,0.15,0.855,0.095
1931-1940,0.816,0.139,0.414,0.0,0.167,0.926,0.087,0.138,0.494,0.878,0.421
1941-1950,0.491,0.259,0.151,0.167,0.0,0.303,0.676,0.041,0.42,0.274,0.036
1951-1960,0.86,0.264,0.433,0.926,0.303,0.0,0.336,0.209,0.752,0.818,0.888
1961-1970,0.343,0.184,0.269,0.087,0.676,0.336,0.0,0.074,0.384,0.342,0.093
1971-1980,0.129,0.296,0.416,0.138,0.041,0.209,0.074,0.0,0.074,0.105,0.024
1981-1990,0.79,0.106,0.15,0.494,0.42,0.752,0.384,0.074,0.0,0.551,0.628
2001-2010,0.945,0.263,0.855,0.878,0.274,0.818,0.342,0.105,0.551,0.0,0.717
2011-2018,0.358,0.016,0.095,0.421,0.036,0.888,0.093,0.024,0.628,0.717,0.0
