,1931-1940,1941-1950,1951-1960,1991-2000,2001-2010,2011-2018
1931-1940,0.0,1.0,1.0,0.522,0.498,1.0
1941-1950,1.0,0.0,0.324,0.21,0.624,0.665
1951-1960,1.0,0.324,0.0,0.495,0.334,1.0
1991-2000,0.522,0.21,0.495,0.0,0.097,0.486
2001-2010,0.498,0.624,0.334,0.097,0.0,0.318
2011-2018,1.0,0.665,1.0,0.486,0.318,0.0
