,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.156,0.819,0.147,0.152,0.23,0.156,0.69,0.662,0.698,0.235
1911-1920,0.156,0.0,0.084,0.49,0.049,0.023,0.071,0.11,0.232,0.114,0.015
1921-1930,0.819,0.084,0.0,0.133,0.066,0.25,0.256,0.62,0.759,0.541,0.154
1931-1940,0.147,0.49,0.133,0.0,0.077,0.049,0.061,0.174,0.676,0.153,0.024
1941-1950,0.152,0.049,0.066,0.077,0.0,0.22,0.424,0.313,0.233,0.1,0.12
1951-1960,0.23,0.023,0.25,0.049,0.22,0.0,0.29,0.414,0.442,0.311,0.278
1961-1970,0.156,0.071,0.256,0.061,0.424,0.29,0.0,0.664,0.693,0.3,0.331
1971-1980,0.69,0.11,0.62,0.174,0.313,0.414,0.664,0.0,0.659,0.51,0.654
1981-1990,0.662,0.232,0.759,0.676,0.233,0.442,0.693,0.659,0.0,0.316,0.216
2001-2010,0.698,0.114,0.541,0.153,0.1,0.311,0.3,0.51,0.316,0.0,0.517
2011-2018,0.235,0.015,0.154,0.024,0.12,0.278,0.331,0.654,0.216,0.517,0.0
