,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.404,0.017,0.293,0.337,0.727,0.224,0.678,0.417,0.141,0.243
1921-1930,0.404,0.0,0.275,0.536,0.495,0.718,0.31,0.308,0.308,0.39,0.434
1931-1940,0.017,0.275,0.0,0.122,0.237,0.029,0.041,0.01,0.01,0.101,0.051
1941-1950,0.293,0.536,0.122,0.0,0.644,0.692,0.951,0.452,0.906,0.915,0.939
1951-1960,0.337,0.495,0.237,0.644,0.0,0.826,0.822,0.605,0.936,0.901,0.884
1961-1970,0.727,0.718,0.029,0.692,0.826,0.0,0.501,0.501,0.479,0.341,0.337
1971-1980,0.224,0.31,0.041,0.951,0.822,0.501,0.0,0.137,0.882,0.882,0.886
1981-1990,0.678,0.308,0.01,0.452,0.605,0.501,0.137,0.0,0.219,0.05,0.083
1991-2000,0.417,0.308,0.01,0.906,0.936,0.479,0.882,0.219,0.0,0.302,0.382
2001-2010,0.141,0.39,0.101,0.915,0.901,0.341,0.882,0.05,0.302,0.0,0.94
2011-2018,0.243,0.434,0.051,0.939,0.884,0.337,0.886,0.083,0.382,0.94,0.0
