,1911-1920,1931-1940,1941-1950,1971-1980
1911-1920,0.0,0.626,0.391,1.0
1931-1940,0.626,0.0,0.422,0.264
1941-1950,0.391,0.422,0.0,0.189
1971-1980,1.0,0.264,0.189,0.0
