,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1931-1940,0.0,0.721,0.79,0.292,0.471,0.189,0.013,0.17
1941-1950,0.721,0.0,0.791,0.524,0.585,0.325,0.036,0.347
1951-1960,0.79,0.791,0.0,0.659,0.554,0.285,0.041,0.603
1961-1970,0.292,0.524,0.659,0.0,0.75,0.599,0.05,0.756
1971-1980,0.471,0.585,0.554,0.75,0.0,0.843,0.158,0.535
1981-1990,0.189,0.325,0.285,0.599,0.843,0.0,0.101,0.692
2001-2010,0.013,0.036,0.041,0.05,0.158,0.101,0.0,0.109
2011-2018,0.17,0.347,0.603,0.756,0.535,0.692,0.109,0.0
