,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.097,0.006,0.401,0.278,0.272,0.077,0.248,0.056,0.157,0.029,0.443
1911-1920,0.097,0.0,0.03,0.36,0.559,0.496,0.32,0.647,0.261,0.375,0.047,0.226
1921-1930,0.006,0.03,0.0,0.008,0.796,0.01,0.04,0.014,0.786,0.104,0.707,0.001
1931-1940,0.401,0.36,0.008,0.0,0.318,0.329,0.188,0.405,0.066,0.39,0.044,0.612
1941-1950,0.278,0.559,0.796,0.318,0.0,0.346,0.164,0.336,0.974,0.713,0.878,0.224
1951-1960,0.272,0.496,0.01,0.329,0.346,0.0,0.621,0.865,0.125,0.223,0.031,0.592
1961-1970,0.077,0.32,0.04,0.188,0.164,0.621,0.0,0.726,0.064,0.184,0.053,0.166
1971-1980,0.248,0.647,0.014,0.405,0.336,0.865,0.726,0.0,0.154,0.354,0.048,0.644
1981-1990,0.056,0.261,0.786,0.066,0.974,0.125,0.064,0.154,0.0,0.318,0.747,0.05
1991-2000,0.157,0.375,0.104,0.39,0.713,0.223,0.184,0.354,0.318,0.0,0.266,0.145
2001-2010,0.029,0.047,0.707,0.044,0.878,0.031,0.053,0.048,0.747,0.266,0.0,0.007
2011-2018,0.443,0.226,0.001,0.612,0.224,0.592,0.166,0.644,0.05,0.145,0.007,0.0
