,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.101,0.651,0.299,0.205,0.317,1.0,0.324,0.195,0.269,0.691
1911-1920,0.101,0.0,0.393,0.12,0.107,0.496,0.486,0.313,0.169,0.203,0.111
1921-1930,0.651,0.393,0.0,0.502,0.297,0.658,1.0,1.0,0.656,0.58,0.795
1931-1940,0.299,0.12,0.502,0.0,0.098,0.517,0.493,0.301,0.117,0.137,0.388
1941-1950,0.205,0.107,0.297,0.098,0.0,0.225,0.501,0.294,0.101,0.081,0.021
1961-1970,0.317,0.496,0.658,0.517,0.225,0.0,1.0,0.338,0.349,0.365,0.693
1971-1980,1.0,0.486,1.0,0.493,0.501,1.0,0.0,1.0,0.79,0.856,0.894
1981-1990,0.324,0.313,1.0,0.301,0.294,0.338,1.0,0.0,0.565,0.776,0.79
1991-2000,0.195,0.169,0.656,0.117,0.101,0.349,0.79,0.565,0.0,0.682,0.179
2001-2010,0.269,0.203,0.58,0.137,0.081,0.365,0.856,0.776,0.682,0.0,0.268
2011-2018,0.691,0.111,0.795,0.388,0.021,0.693,0.894,0.79,0.179,0.268,0.0
