timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,2011-2018,10,4.777178556202229,0.0
1941-1950,1991-2000,5,5.552719131784133,0.0
1931-1940,1991-2000,6,5.049632331827596,0.001
1941-1950,1981-1990,4,3.490415569021024,0.001
1981-1990,2011-2018,3,3.7114314442514362,0.001
1971-1980,1991-2000,2,4.671973507603835,0.001
1911-1920,1991-2000,8,4.343142591664016,0.003
1981-1990,1991-2000,1,4.2216755640735455,0.004
1951-1960,1991-2000,4,4.411985593940968,0.004
1931-1940,2011-2018,8,4.234004456152451,0.005
1911-1920,2001-2010,9,4.5170893939403305,0.005
1961-1970,1981-1990,2,3.5696306828027153,0.015
1911-1920,1981-1990,7,3.4101497352265993,0.015
1911-1920,1941-1950,3,4.036469008903719,0.016
1991-2000,2011-2018,2,4.1629123348637735,0.016
1961-1970,1991-2000,3,4.465164468746279,0.021
1921-1930,1991-2000,7,4.894672950377339,0.022
1941-1950,2011-2018,7,3.860970079114285,0.027
1931-1940,2001-2010,7,4.1390736031222355,0.03
1941-1950,2001-2010,6,4.0889108263308716,0.031
1941-1950,1961-1970,2,3.912329355923997,0.033
1901-1910,1991-2000,9,3.6628582288090685,0.034
1921-1930,1981-1990,6,3.8083911374951134,0.037
1961-1970,2001-2010,4,4.342504503733737,0.04
1981-1990,2001-2010,2,3.361735369869927,0.046
1911-1920,1961-1970,5,4.105348911942575,0.047
