event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1961-1970,1971-1980,6.1713333384313165,0.046,1,1971-1980,consecutive
1,1991-2000,2001-2010,8.930041811449584,0.011,2,"2001-2010,2011-2018",consecutive
2,2001-2010,2011-2018,6.512649654912691,0.012,1,2011-2018,consecutive
3,1971-1980,1991-2000,7.802961380893225,0.037,2,"1981-1990,1991-2000",sudden_shift
