,1901-1910,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.339,0.336,0.219,0.239,0.197,0.202,0.34,1.0,0.316,0.346
1921-1930,0.339,0.0,0.318,0.195,0.294,0.205,0.471,0.652,0.661,0.677,0.663
1931-1940,0.336,0.318,0.0,0.214,0.678,0.138,0.444,1.0,0.343,0.345,0.344
1941-1950,0.219,0.195,0.214,0.0,0.027,0.265,0.665,0.469,0.617,0.264,1.0
1951-1960,0.239,0.294,0.678,0.027,0.0,0.044,0.46,0.082,0.507,0.294,0.492
1961-1970,0.197,0.205,0.138,0.265,0.044,0.0,0.441,0.188,0.207,0.212,0.737
1971-1980,0.202,0.471,0.444,0.665,0.46,0.441,0.0,0.541,0.59,0.781,1.0
1981-1990,0.34,0.652,1.0,0.469,0.082,0.188,0.541,0.0,1.0,0.671,1.0
1991-2000,1.0,0.661,0.343,0.617,0.507,0.207,0.59,1.0,0.0,0.698,0.655
2001-2010,0.316,0.677,0.345,0.264,0.294,0.212,0.781,0.671,0.698,0.0,1.0
2011-2018,0.346,0.663,0.344,1.0,0.492,0.737,1.0,1.0,0.655,1.0,0.0
