,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.371,0.689,0.158,0.312,0.015,0.435,0.265,0.621,0.249,0.278
1921-1930,0.371,0.0,0.164,0.203,0.038,0.0,0.104,0.013,0.307,0.054,0.027
1931-1940,0.689,0.164,0.0,0.053,0.046,0.005,0.026,0.012,0.096,0.013,0.001
1941-1950,0.158,0.203,0.053,0.0,0.027,0.0,0.016,0.007,0.202,0.021,0.093
1951-1960,0.312,0.038,0.046,0.027,0.0,0.807,0.34,0.406,0.161,0.265,0.16
1961-1970,0.015,0.0,0.005,0.0,0.807,0.0,0.028,0.012,0.006,0.014,0.007
1971-1980,0.435,0.104,0.026,0.016,0.34,0.028,0.0,0.115,0.07,0.024,0.014
1981-1990,0.265,0.013,0.012,0.007,0.406,0.012,0.115,0.0,0.006,0.006,0.006
1991-2000,0.621,0.307,0.096,0.202,0.161,0.006,0.07,0.006,0.0,0.046,0.007
2001-2010,0.249,0.054,0.013,0.021,0.265,0.014,0.024,0.006,0.046,0.0,0.0
2011-2018,0.278,0.027,0.001,0.093,0.16,0.007,0.014,0.006,0.007,0.0,0.0
