event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,8.270712335357539,0.029,1,1911-1920,consecutive
1,1921-1930,1931-1940,10.23716416809584,0.007,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
2,1931-1940,1941-1950,14.819677988813373,0.0,6,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",consecutive
3,1941-1950,1951-1960,12.996916573808111,0.0,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
4,2001-2010,2011-2018,7.738791908742006,0.001,1,2011-2018,consecutive
5,1951-1960,2001-2010,6.689531763605561,0.0,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
6,1961-1970,1981-1990,8.300412250914968,0.019,2,"1971-1980,1981-1990",sudden_shift
7,1961-1970,1991-2000,6.356187202512699,0.006,3,"1971-1980,1981-1990,1991-2000",sudden_shift
8,1961-1970,2001-2010,7.328505447695685,0.0,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
9,1971-1980,2001-2010,7.192745836912852,0.0,3,"1981-1990,1991-2000,2001-2010",sudden_shift
