timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1941-1950,3,11.232100384973114,0.003
1931-1940,1991-2000,4,12.920861141267709,0.006
1921-1930,1941-1950,2,9.356256485052628,0.008
1931-1940,1941-1950,1,11.091167628518987,0.015
1921-1930,1931-1940,1,9.791644576451015,0.017
1941-1950,1991-2000,3,13.079203739997356,0.02
1941-1950,2011-2018,5,13.902585575864402,0.022
1941-1950,1981-1990,2,14.444328320141532,0.025
1931-1940,2011-2018,6,12.77802021358991,0.039
1931-1940,1981-1990,3,13.030976314282594,0.044
1921-1930,1991-2000,5,10.584288609227746,0.046
