,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000
1901-1910,0.0,60.10805979755242,81.4537534569603,72.65380667927509,167.1259172564639,78.60036107124112,93.7454288667783
1911-1920,60.10805979755242,0.0,48.25880534949214,51.987274284605064,141.02337561345666,82.87988373211954,86.03122908536203
1921-1930,81.4537534569603,48.25880534949214,0.0,65.17021090624809,130.51103779998982,103.05811699050182,95.44203246690664
1931-1940,72.65380667927509,51.987274284605064,65.17021090624809,0.0,143.36894791926187,100.20187847069197,96.57253130441659
1941-1950,167.1259172564639,141.02337561345666,130.51103779998982,143.36894791926187,0.0,180.75341812227924,167.5499796620106
1951-1960,78.60036107124112,82.87988373211954,103.05811699050182,100.20187847069197,180.75341812227924,0.0,110.48512795172401
1991-2000,93.7454288667783,86.03122908536203,95.44203246690664,96.57253130441659,167.5499796620106,110.48512795172401,0.0
