,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000
1901-1910,0.0,0.334,0.107,0.115,0.219,0.781,0.594
1911-1920,0.334,0.0,0.37,0.706,0.169,0.702,0.695
1921-1930,0.107,0.37,0.0,0.553,0.576,0.842,0.91
1931-1940,0.115,0.706,0.553,0.0,0.434,0.417,0.58
1941-1950,0.219,0.169,0.576,0.434,0.0,1.0,1.0
1951-1960,0.781,0.702,0.842,0.417,1.0,0.0,1.0
1991-2000,0.594,0.695,0.91,0.58,1.0,1.0,0.0
