,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.659,0.197,1.0,0.666,0.327,1.0,0.193,0.065,0.064,0.094
1921-1930,0.659,0.0,0.208,0.316,0.68,0.333,1.0,0.547,0.173,0.317,0.563
1931-1940,0.197,0.208,0.0,0.399,0.273,0.198,0.206,0.19,0.015,0.13,0.113
1941-1950,1.0,0.316,0.399,0.0,1.0,0.316,0.664,0.705,0.298,0.321,0.342
1951-1960,0.666,0.68,0.273,1.0,0.0,0.671,1.0,0.259,0.081,0.06,0.115
1961-1970,0.327,0.333,0.198,0.316,0.671,0.0,1.0,0.85,0.259,0.425,0.634
1971-1980,1.0,1.0,0.206,0.664,1.0,1.0,0.0,0.797,0.447,0.708,0.681
1981-1990,0.193,0.547,0.19,0.705,0.259,0.85,0.797,0.0,0.031,0.054,0.221
1991-2000,0.065,0.173,0.015,0.298,0.081,0.259,0.447,0.031,0.0,0.199,0.186
2001-2010,0.064,0.317,0.13,0.321,0.06,0.425,0.708,0.054,0.199,0.0,0.514
2011-2018,0.094,0.563,0.113,0.342,0.115,0.634,0.681,0.221,0.186,0.514,0.0
