,1911-1920,1931-1940,1941-1950,1971-1980
1911-1920,0.0,0.616,0.596,1.0
1931-1940,0.616,0.0,0.159,0.043
1941-1950,0.596,0.159,0.0,0.189
1971-1980,1.0,0.043,0.189,0.0
