,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960,2011-2018
1901-1910,0.0,705.0723516361263,800.0904960673492,734.8496405751138,892.8447337394166,692.474638128752
1911-1920,705.0723516361263,0.0,618.3182628341292,516.5231497287745,686.8609865768706,554.5607907284061
1921-1930,800.0904960673492,618.3182628341292,0.0,698.7288176976234,879.5745293762899,565.6084518584624
1931-1940,734.8496405751138,516.5231497287745,698.7288176976234,0.0,700.7384965717821,653.7904519759304
1951-1960,892.8447337394166,686.8609865768706,879.5745293762899,700.7384965717821,0.0,864.4103598081224
2011-2018,692.474638128752,554.5607907284061,565.6084518584624,653.7904519759304,864.4103598081224,0.0
