event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,5.32991857206895,0.0,1,1911-1920,consecutive
1,1911-1920,1921-1930,5.771088405962052,0.0,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
2,1921-1930,1931-1940,4.537496587104809,0.011,2,"1931-1940,1941-1950",consecutive
3,1931-1940,1941-1950,5.14333050003866,0.0,1,1941-1950,consecutive
4,1941-1950,1981-1990,5.390978368021522,0.01,4,"1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
5,1941-1950,1991-2000,5.554936503425354,0.0,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
6,1941-1950,2001-2010,5.281333496635633,0.0,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
7,1941-1950,2011-2018,5.450762989012812,0.0,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
8,1951-1960,1991-2000,4.7123545679825884,0.01,4,"1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
9,1951-1960,2001-2010,4.531965249909404,0.021,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
10,1951-1960,2011-2018,4.661179535741454,0.042,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
11,1971-1980,1991-2000,4.770187347143966,0.029,2,"1981-1990,1991-2000",sudden_shift
12,1971-1980,2001-2010,4.884015414949408,0.001,3,"1981-1990,1991-2000,2001-2010",sudden_shift
13,1971-1980,2011-2018,4.9000046862937365,0.016,4,"1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
