timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,5.32991857206895,0.0
1901-1910,1931-1940,3,5.157817641932193,0.0
1901-1910,1981-1990,8,5.748021076851935,0.0
1901-1910,1991-2000,9,5.737387246615272,0.0
1901-1910,2011-2018,11,5.5211345312115325,0.0
1901-1910,2001-2010,10,5.4728139031305165,0.0
1911-1920,1921-1930,1,5.771088405962052,0.0
1911-1920,1931-1940,2,5.9299347029723455,0.0
1911-1920,1971-1980,6,5.755683357677395,0.0
1911-1920,1941-1950,3,6.256964907897103,0.0
1911-1920,1951-1960,4,6.0332696884188675,0.0
1911-1920,1961-1970,5,5.819432422688759,0.0
1911-1920,1991-2000,8,6.270378116003729,0.0
1911-1920,1981-1990,7,6.625396876836481,0.0
1911-1920,2001-2010,9,6.098591125431381,0.0
1911-1920,2011-2018,10,6.05403744076118,0.0
1941-1950,1991-2000,5,5.554936503425354,0.0
1921-1930,1991-2000,7,4.966805959222312,0.0
1941-1950,2001-2010,6,5.281333496635633,0.0
1931-1940,1941-1950,1,5.14333050003866,0.0
1941-1950,2011-2018,7,5.450762989012812,0.0
1921-1930,2011-2018,9,4.809797115200354,0.001
1971-1980,2001-2010,3,4.884015414949408,0.001
1921-1930,2001-2010,8,4.720798985310339,0.001
1931-1940,1991-2000,6,4.310995376528402,0.003
1921-1930,1941-1950,2,5.1821654829158295,0.009
1941-1950,1981-1990,4,5.390978368021522,0.01
1951-1960,1991-2000,4,4.7123545679825884,0.01
1921-1930,1931-1940,1,4.537496587104809,0.011
1921-1930,1971-1980,5,5.0548840026199775,0.013
1931-1940,2011-2018,8,4.39456513823234,0.014
1921-1930,1981-1990,6,5.003156065565092,0.016
1971-1980,2011-2018,4,4.9000046862937365,0.016
1951-1960,2001-2010,5,4.531965249909404,0.021
1971-1980,1991-2000,2,4.770187347143966,0.029
1931-1940,2001-2010,7,4.101155963517979,0.032
1951-1960,2011-2018,6,4.661179535741454,0.042
1901-1910,1961-1970,6,4.894234998918255,0.045
1931-1940,1971-1980,4,4.734590778622034,0.045
