,1921-1930,1931-1940,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.749,0.375,0.626,0.668
1931-1940,0.749,0.0,0.624,0.751,0.68
1991-2000,0.375,0.624,0.0,0.914,0.857
2001-2010,0.626,0.751,0.914,0.0,0.867
2011-2018,0.668,0.68,0.857,0.867,0.0
