,1921-1930,1931-1940,1991-2000,2001-2010,2011-2018
1921-1930,0.0,10.751378961343287,10.888385264545192,10.83982086501439,13.332004337317777
1931-1940,10.751378961343287,0.0,11.689951031061385,11.547192802611159,14.276468750204586
1991-2000,10.888385264545192,11.689951031061385,0.0,10.808255632471976,13.382104658010933
2001-2010,10.83982086501439,11.547192802611159,10.808255632471976,0.0,13.118278344849566
2011-2018,13.332004337317777,14.276468750204586,13.382104658010933,13.118278344849566,0.0
