synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s10649,zeitung,1901-1910,1911-1920,0.05066501595617512,0.05845519680900841
s10649,zeitung,1911-1920,1921-1930,0.10047149648831352,0.06956324437113875
s10649,zeitung,1921-1930,1931-1940,0.17512525641968038,0.012264738132156111
s10649,zeitung,1931-1940,1941-1950,0.21069453103047456,0.03827949884917716
s10649,zeitung,1941-1950,1951-1960,0.15122443097666413,0.041999756143928424
s10649,zeitung,1951-1960,1961-1970,0.12926201295119524,0.10977870823692855
s10649,zeitung,1961-1970,1971-1980,0.09779568331647788,0.05989739139491351
s10649,zeitung,1971-1980,1981-1990,0.13182435072251353,0.02461963789645328
s10649,zeitung,1981-1990,1991-2000,0.3855970055532647,0.08943978900168573
s10649,zeitung,1991-2000,2001-2010,0.20780549350783536,0.043390118842636424
