,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000
1901-1910,0.0,0.031,0.005,0.062,0.219,0.612,1.0
1911-1920,0.031,0.0,0.406,0.745,0.093,0.397,0.365
1921-1930,0.005,0.406,0.0,0.763,0.103,0.559,0.371
1931-1940,0.062,0.745,0.763,0.0,0.215,0.209,0.199
1941-1950,0.219,0.093,0.103,0.215,0.0,1.0,1.0
1951-1960,0.612,0.397,0.559,0.209,1.0,0.0,1.0
1991-2000,1.0,0.365,0.371,0.199,1.0,1.0,0.0
