event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1951-1960,9.324092513419737,0.028,5,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960",sudden_shift
1,1901-1910,1961-1970,8.859551035970128,0.022,6,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
2,1901-1910,1971-1980,8.656694741676457,0.033,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
3,1901-1910,1991-2000,8.66425883318925,0.035,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
4,1901-1910,2001-2010,9.94480378244472,0.005,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
5,1901-1910,2011-2018,10.532314821999273,0.007,11,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
6,1911-1920,2001-2010,7.870480569621589,0.02,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
7,1911-1920,2011-2018,8.207335821977846,0.023,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
8,1921-1930,1951-1960,9.010731902343602,0.047,3,"1931-1940,1941-1950,1951-1960",sudden_shift
9,1921-1930,2001-2010,8.388514178025291,0.045,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
10,1931-1940,2001-2010,6.398679837690818,0.031,7,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
11,1951-1960,1981-1990,5.422542823476516,0.033,3,"1961-1970,1971-1980,1981-1990",sudden_shift
12,1951-1960,2001-2010,5.832985457603412,0.001,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
13,1951-1960,2011-2018,6.260838740175909,0.025,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
14,1971-1980,2001-2010,4.4418522895508445,0.024,3,"1981-1990,1991-2000,2001-2010",sudden_shift
