timespan_1,timespan_2,distance,drift_magnitude,p_value
1961-1970,2011-2018,5,65.53421701689723,0.006
1941-1950,1991-2000,5,52.80896807380299,0.014
1941-1950,1951-1960,1,53.54399105128621,0.017
1941-1950,1961-1970,2,50.864710610149864,0.021
1961-1970,2001-2010,4,49.56256294830963,0.026
1941-1950,2011-2018,7,50.79278309405435,0.026
1941-1950,2001-2010,6,45.80172323717377,0.029
1961-1970,1971-1980,1,50.81410083482308,0.032
1991-2000,2011-2018,2,56.22002134176487,0.037
1951-1960,2011-2018,6,59.7448120393942,0.038
1931-1940,1941-1950,1,48.57644340112662,0.043
