lexeme,synset,has_consecutive_test,consecutive_pvalue,consecutive_significant,has_pairwise_test,num_significant_pairs,max_drift_magnitude,min_pvalue,num_drift_events,max_impact_duration,total_timespans,drift_event_types,affected_timespans,result_path,num_dimensions,any_significant
stammbuch,s10937,True,0.296,False,True,15,6.381018060893298,0.0,15,11,10,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/stammbuch/s10937,1024.0,True
schnabel,s25993,True,0.102,False,True,15,5.954710019231896,0.001,2,2,11,consecutive,"1921-1930,1931-1940,1941-1950",results/xl-lexeme/lexemes/schnabel/s25993,1024.0,True
schnabel,s26449,True,0.037,True,True,13,5.868786920437829,0.0,4,4,13,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",results/xl-lexeme/lexemes/schnabel/s26449,1024.0,True
atmosphäre,s42158,True,0.126,False,True,9,5.160345309703023,0.019,3,6,10,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/atmosphäre/s42158,1024.0,True
atmosphäre,s14251,True,0.747,False,True,9,3.944719639641774,0.007,5,8,9,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/xl-lexeme/lexemes/atmosphäre/s14251,1024.0,True
atmosphäre,s33676,True,0.891,False,True,2,9.307780755137545,0.015,2,3,4,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",results/xl-lexeme/lexemes/atmosphäre/s33676,1024.0,True
atmosphäre,s42868,True,0.008,True,True,24,7.591881836947488,0.0,4,2,17,consecutive,"1911-1920,1921-1930,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/atmosphäre/s42868,1024.0,True
diarium,s10919,True,0.001,True,True,35,5.300703424300373,0.0,5,7,18,consecutive,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/diarium/s10919,1024.0,True
kasse,s74827,True,0.289,False,True,14,4.909943466851479,0.0,2,2,10,consecutive,"1931-1940,1941-1950,1981-1990",results/xl-lexeme/lexemes/kasse/s74827,1024.0,True
kasse,s74907,True,0.828,False,True,4,4.845923137899413,0.013,4,8,5,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/xl-lexeme/lexemes/kasse/s74907,1024.0,True
kasse,s25445,True,0.049,True,True,13,6.39620773044633,0.003,8,9,12,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/kasse/s25445,1024.0,True
kasse,s22803,True,0.003,True,True,5,8.062423879308332,0.016,5,6,6,sudden_shift,"1921-1930,1931-1940,1941-1950,1961-1970,1981-1990,1991-2000",results/xl-lexeme/lexemes/kasse/s22803,1024.0,True
universität,s9426,True,0.765,False,True,2,5.100687949963273,0.027,2,10,3,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/xl-lexeme/lexemes/universität/s9426,1024.0,True
universität,s24528,True,0.0,False,True,38,4.256555614366138,0.0,6,8,20,consecutive,"1911-1920,1921-1930,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/universität/s24528,1024.0,True
universität,s75975,True,0.037,True,True,2,8.084471532004534,0.027,2,1,4,consecutive,"1951-1960,1961-1970",results/xl-lexeme/lexemes/universität/s75975,1024.0,True
blatt,s10649,True,0.164,False,True,15,3.308328604167946,0.0,4,6,13,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",results/xl-lexeme/lexemes/blatt/s10649,1024.0,True
blatt,s46736,True,0.011,True,True,17,6.101704180781633,0.003,11,8,16,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/blatt/s46736,1024.0,True
blatt,s11270,True,0.026,True,True,15,5.312602432399108,0.0,3,3,13,"consecutive,sudden_shift","1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/xl-lexeme/lexemes/blatt/s11270,1024.0,True
block,s15791,True,0.859,False,True,7,9.593620344881156,0.007,2,1,8,consecutive,"1911-1920,2001-2010",results/xl-lexeme/lexemes/block/s15791,1024.0,True
