,1921-1930,1931-1940,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.345,0.12,0.027,0.53
1931-1940,0.345,0.0,0.755,0.649,0.74
1991-2000,0.12,0.755,0.0,0.571,0.368
2001-2010,0.027,0.649,0.571,0.0,0.664
2011-2018,0.53,0.74,0.368,0.664,0.0
