,1911-1920,1921-1930,1931-1940,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.328,0.026,0.321,0.344,0.892,0.004,0.0
1921-1930,0.328,0.0,0.692,1.0,1.0,1.0,0.189,0.13
1931-1940,0.026,0.692,0.0,0.672,0.67,0.655,0.059,0.019
1961-1970,0.321,1.0,0.672,0.0,1.0,1.0,0.383,0.433
1971-1980,0.344,1.0,0.67,1.0,0.0,1.0,1.0,0.771
1991-2000,0.892,1.0,0.655,1.0,1.0,0.0,0.786,0.672
2001-2010,0.004,0.189,0.059,0.383,1.0,0.786,0.0,0.636
2011-2018,0.0,0.13,0.019,0.433,0.771,0.672,0.636,0.0
