synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s73683,flügel,1911-1920,1921-1930,0.08860649250805253,0.4699745794376769
s73683,flügel,1921-1930,1931-1940,0.05939484881616863,0.15521929080381733
s73683,flügel,1931-1940,1961-1970,0.08149651889169718,0.17017204985881082
s73683,flügel,1961-1970,1971-1980,0.036295269170295796,0.3163516194426216
s73683,flügel,1971-1980,1991-2000,0.15525388580533672,0.22299500823506535
s73683,flügel,1991-2000,2001-2010,0.15558782829904771,0.32927389662281176
