,1911-1920,1921-1930,1931-1940,1961-1970,1971-1980,1991-2000,2001-2010,2011-2018
1911-1920,0.0,0.232,0.047,0.232,0.112,0.333,0.002,0.0
1921-1930,0.232,0.0,0.692,1.0,1.0,1.0,0.419,0.571
1931-1940,0.047,0.692,0.0,0.672,1.0,0.655,0.127,0.682
1961-1970,0.232,1.0,0.672,0.0,1.0,1.0,0.383,0.774
1971-1980,0.112,1.0,1.0,1.0,0.0,1.0,0.418,0.557
1991-2000,0.333,1.0,0.655,1.0,1.0,0.0,0.786,1.0
2001-2010,0.002,0.419,0.127,0.383,0.418,0.786,0.0,0.386
2011-2018,0.0,0.571,0.682,0.774,0.557,1.0,0.386,0.0
