event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1931-1940,1941-1950,7.923060134259242,0.029,1,1941-1950,consecutive
1,1941-1950,1961-1970,7.027992059399764,0.025,2,"1951-1960,1961-1970",sudden_shift
2,1941-1950,1971-1980,6.515035622361684,0.04,3,"1951-1960,1961-1970,1971-1980",sudden_shift
3,1941-1950,2011-2018,6.034492480510411,0.005,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
4,1961-1970,1981-1990,6.240629028705178,0.032,2,"1971-1980,1981-1990",sudden_shift
5,1961-1970,1991-2000,6.593075812457622,0.005,3,"1971-1980,1981-1990,1991-2000",sudden_shift
6,1961-1970,2001-2010,5.682275802494207,0.022,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
7,1961-1970,2011-2018,5.536857203678353,0.042,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
8,1971-1980,1991-2000,5.959252127874848,0.005,2,"1981-1990,1991-2000",sudden_shift
9,1971-1980,2001-2010,5.217637994540312,0.022,3,"1981-1990,1991-2000,2001-2010",sudden_shift
10,1981-1990,2011-2018,5.077275968587966,0.009,3,"1991-2000,2001-2010,2011-2018",sudden_shift
11,1991-2000,2011-2018,4.726541113639736,0.0,2,"2001-2010,2011-2018",sudden_shift
