,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000
1911-1920,0.0,0.27,0.758,0.322,1.0,1.0
1921-1930,0.27,0.0,0.593,0.68,0.246,0.253
1931-1940,0.758,0.593,0.0,0.296,0.492,1.0
1941-1950,0.322,0.68,0.296,0.0,0.325,0.334
1951-1960,1.0,0.246,0.492,0.325,0.0,1.0
1991-2000,1.0,0.253,1.0,0.334,1.0,0.0
