lexeme,synset,has_consecutive_test,consecutive_pvalue,consecutive_significant,has_pairwise_test,num_significant_pairs,max_drift_magnitude,min_pvalue,num_drift_events,max_impact_duration,total_timespans,drift_event_types,affected_timespans,result_path,num_dimensions,any_significant
stammbuch,s10937,True,0.911,False,True,4,190.04424911897516,0.005,3,3,6,"consecutive,sudden_shift","1981-1990,1991-2000,2001-2010,2011-2018",results/Qwen3-8b/lexemes/stammbuch/s10937,4096.0,True
schnabel,s25993,True,0.06,False,True,8,1342.4236003686876,0.004,3,3,10,"consecutive,sudden_shift","1951-1960,1961-1970,1971-1980,1981-1990,2001-2010",results/Qwen3-8b/lexemes/schnabel/s25993,4096.0,True
schnabel,s26449,True,0.138,False,True,2,212.23652563446268,0.042,2,4,3,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950",results/Qwen3-8b/lexemes/schnabel/s26449,4096.0,True
atmosphäre,s42158,True,0.556,False,True,11,811.7157920967163,0.0,6,5,10,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/Qwen3-8b/lexemes/atmosphäre/s42158,4096.0,True
atmosphäre,s14251,True,0.175,False,True,6,238.79545824309048,0.005,2,1,8,consecutive,"1981-1990,1991-2000",results/Qwen3-8b/lexemes/atmosphäre/s14251,4096.0,True
atmosphäre,s33676,True,0.376,False,True,1,377.2175245098368,0.044,1,4,2,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950",results/Qwen3-8b/lexemes/atmosphäre/s33676,4096.0,True
atmosphäre,s42868,True,0.016,True,True,20,385.19178434926505,0.002,6,4,16,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1981-1990,1991-2000,2001-2010,2011-2018",results/Qwen3-8b/lexemes/atmosphäre/s42868,4096.0,True
diarium,s10919,True,0.192,False,True,18,321.34011068499746,0.0,3,3,12,consecutive,"1941-1950,1951-1960,1961-1970,1971-1980",results/Qwen3-8b/lexemes/diarium/s10919,4096.0,True
kasse,s74827,True,0.809,False,True,1,767.2755873952354,0.049,1,1,2,consecutive,1921-1930,results/Qwen3-8b/lexemes/kasse/s74827,4096.0,True
kasse,s74907,True,0.169,False,True,4,524.0047197446557,0.016,4,9,5,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/Qwen3-8b/lexemes/kasse/s74907,4096.0,True
kasse,s6521,True,0.11,False,True,1,322.16056908489617,0.043,1,1,2,consecutive,1921-1930,results/Qwen3-8b/lexemes/kasse/s6521,4096.0,True
kasse,s25445,True,0.581,False,True,3,433.6371132516989,0.041,3,8,4,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",results/Qwen3-8b/lexemes/kasse/s25445,4096.0,True
kasse,s22803,True,0.872,False,True,1,370.5535830640757,0.0,1,3,2,sudden_shift,"1921-1930,1931-1940,1941-1950",results/Qwen3-8b/lexemes/kasse/s22803,4096.0,True
universität,s9426,True,0.304,False,True,5,565.5680186680335,0.024,5,10,5,sudden_shift,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/Qwen3-8b/lexemes/universität/s9426,4096.0,True
universität,s24528,True,0.698,False,True,7,176.47288215111064,0.001,2,3,7,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",results/Qwen3-8b/lexemes/universität/s24528,4096.0,True
blatt,s10649,True,0.063,False,True,15,269.9963532817937,0.0,2,4,13,consecutive,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/Qwen3-8b/lexemes/blatt/s10649,4096.0,True
blatt,s46736,True,0.058,False,True,9,1129.0292485875184,0.005,4,3,12,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",results/Qwen3-8b/lexemes/blatt/s46736,4096.0,True
blatt,s11270,True,0.819,False,True,1,441.7755705844918,0.04,1,1,2,consecutive,1921-1930,results/Qwen3-8b/lexemes/blatt/s11270,4096.0,True
block,s15791,True,0.538,False,True,1,309.72785452465786,0.048,1,6,2,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970",results/Qwen3-8b/lexemes/block/s15791,4096.0,True
block,s107180,True,0.145,False,True,7,452.0179877006332,0.004,7,10,9,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/Qwen3-8b/lexemes/block/s107180,4096.0,True
block,s9544,True,0.988,False,True,1,310.0298551475049,0.045,1,3,2,sudden_shift,"1941-1950,1951-1960,1961-1970",results/Qwen3-8b/lexemes/block/s9544,4096.0,True
klappe,s6029,True,0.148,False,True,1,819.2307988696859,0.029,1,7,2,sudden_shift,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",results/Qwen3-8b/lexemes/klappe/s6029,4096.0,True
klappe,s25993,True,0.035,True,True,15,340.46584717338817,0.0,4,1,14,consecutive,"1921-1930,1931-1940,1991-2000,2001-2010",results/Qwen3-8b/lexemes/klappe/s25993,4096.0,True
pinsel,s8330,True,0.973,False,True,1,201.80625070021523,0.037,1,3,2,sudden_shift,"1981-1990,2001-2010,2011-2018",results/Qwen3-8b/lexemes/pinsel/s8330,4096.0,True
decke,s10206,True,0.017,True,True,8,721.9845278597782,0.001,3,2,9,consecutive,"1911-1920,1921-1930,1931-1940,1991-2000",results/Qwen3-8b/lexemes/decke/s10206,4096.0,True
decke,s73206,True,0.046,True,True,1,557.9567841972048,0.038,1,6,2,sudden_shift,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",results/Qwen3-8b/lexemes/decke/s73206,4096.0,True
decke,s7419,True,0.408,False,True,6,372.4565188033772,0.034,3,8,8,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/Qwen3-8b/lexemes/decke/s7419,4096.0,True
