,1911-1920,1931-1940,1961-1970,1971-1980,2001-2010
1911-1920,0.0,1.0,1.0,1.0,1.0
1931-1940,1.0,0.0,0.699,1.0,1.0
1961-1970,1.0,0.699,0.0,1.0,1.0
1971-1980,1.0,1.0,1.0,0.0,1.0
2001-2010,1.0,1.0,1.0,1.0,0.0
