timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,2001-2010,10,6.1166857517471325,0.0
1901-1910,1991-2000,9,6.150704025964439,0.0
1911-1920,1971-1980,6,9.756790170907726,0.0
1901-1910,2011-2018,11,6.326881736811419,0.0
1921-1930,1971-1980,5,9.873590547185144,0.0
1911-1920,2011-2018,10,7.460031399446001,0.0
1911-1920,2001-2010,9,7.125552607149564,0.0
1911-1920,1991-2000,8,7.247029054833585,0.0
1921-1930,1991-2000,7,7.283035529563686,0.0
1941-1950,1991-2000,5,10.896363387623706,0.0
1971-1980,1991-2000,2,7.964001068700259,0.0
1931-1940,2001-2010,7,7.475945830139925,0.0
1941-1950,2001-2010,6,10.794656408438769,0.0
1921-1930,2001-2010,8,7.096049572413262,0.001
1901-1910,1971-1980,7,8.256015494922027,0.001
1911-1920,1961-1970,5,9.014946638404293,0.001
1941-1950,1971-1980,3,13.046557987085293,0.001
1921-1930,2011-2018,9,7.480521643562114,0.001
1971-1980,2001-2010,3,7.297433181171737,0.001
1931-1940,1971-1980,4,10.063923744278458,0.002
1931-1940,1991-2000,6,7.5649663395744335,0.002
1901-1910,1941-1950,4,10.032801082983939,0.007
1941-1950,1961-1970,2,11.708712386486338,0.008
1931-1940,2011-2018,8,7.656487285211063,0.009
1941-1950,1981-1990,4,13.828153363532286,0.01
1941-1950,1951-1960,1,11.117709574551041,0.013
1971-1980,2011-2018,4,7.5785132851808745,0.017
1911-1920,1981-1990,7,11.175608641137464,0.018
1941-1950,2011-2018,7,10.691580609630243,0.026
1961-1970,2001-2010,4,7.743769944164875,0.029
1931-1940,1961-1970,3,9.329187514538972,0.036
1961-1970,1991-2000,3,7.9182176703439815,0.037
1931-1940,1951-1960,2,8.657575870850062,0.047
1911-1920,1951-1960,4,7.94807159070049,0.047
