timespan_1,timespan_2,distance,drift_magnitude,p_value
1931-1940,1951-1960,2,7.50133543729285,0.001
1911-1920,1951-1960,4,8.071712147936484,0.002
1931-1940,1961-1970,3,5.277427953745953,0.005
1911-1920,1961-1970,5,6.500440397464933,0.01
1951-1960,1981-1990,3,7.308615507314697,0.013
1931-1940,1941-1950,1,6.463684252266553,0.018
1961-1970,1981-1990,2,5.966333907557492,0.018
1931-1940,1981-1990,5,5.427043775729065,0.028
1951-1960,1971-1980,2,5.965115317126019,0.04
1921-1930,1951-1960,3,6.523047753924115,0.044
