,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1991-2000
1901-1910,0.0,0.855,0.68,0.777,0.219,0.823,1.0
1911-1920,0.855,0.0,0.472,0.509,0.246,0.6,0.863
1921-1930,0.68,0.472,0.0,0.534,0.46,0.526,0.668
1931-1940,0.777,0.509,0.534,0.0,0.425,0.617,0.635
1941-1950,0.219,0.246,0.46,0.425,0.0,1.0,1.0
1951-1960,0.823,0.6,0.526,0.617,1.0,0.0,1.0
1991-2000,1.0,0.863,0.668,0.635,1.0,1.0,0.0
