,1901-1910,1911-1920,1921-1930,1931-1940,1951-1960,2011-2018
1901-1910,0.0,0.683,1.0,0.342,1.0,0.647
1911-1920,0.683,0.0,0.641,0.315,0.66,1.0
1921-1930,1.0,0.641,0.0,0.673,1.0,1.0
1931-1940,0.342,0.315,0.673,0.0,0.315,1.0
1951-1960,1.0,0.66,1.0,0.315,0.0,0.316
2011-2018,0.647,1.0,1.0,1.0,0.316,0.0
