event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1991-2000,4.2520375171772375,0.016,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
1,1901-1910,2001-2010,4.069462621152088,0.03,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
2,1911-1920,1931-1940,5.720390630092272,0.04,2,"1921-1930,1931-1940",sudden_shift
3,1911-1920,1971-1980,5.6991393358821885,0.043,6,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
4,1911-1920,1991-2000,6.462760446076596,0.001,8,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
5,1911-1920,2001-2010,6.201048138547695,0.002,9,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
6,1921-1930,1991-2000,5.329629601888591,0.002,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
7,1921-1930,2001-2010,5.299107070493325,0.006,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
8,1941-1950,1991-2000,3.8888790896953376,0.039,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
9,1941-1950,2001-2010,4.207347908717292,0.029,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
