timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1991-2000,8,6.462760446076596,0.001
1911-1920,2001-2010,9,6.201048138547695,0.002
1921-1930,1991-2000,7,5.329629601888591,0.002
1921-1930,2001-2010,8,5.299107070493325,0.006
1901-1910,1991-2000,9,4.2520375171772375,0.016
1941-1950,2001-2010,6,4.207347908717292,0.029
1901-1910,2001-2010,10,4.069462621152088,0.03
1941-1950,1991-2000,5,3.8888790896953376,0.039
1911-1920,1931-1940,2,5.720390630092272,0.04
1911-1920,1971-1980,6,5.6991393358821885,0.043
