timespan_1,timespan_2,distance,drift_magnitude,p_value
1911-1920,1981-1990,7,135.0518473404955,0.009
1901-1910,2011-2018,11,162.84035315550162,0.011
1901-1910,1991-2000,9,148.33710490450443,0.011
1901-1910,1971-1980,7,171.84875661065675,0.021
1911-1920,1921-1930,1,135.69822908954328,0.023
1971-1980,1981-1990,1,175.06122677151322,0.024
1911-1920,1941-1950,3,125.45457844467853,0.03
1911-1920,1931-1940,2,155.62595300589973,0.032
1911-1920,1991-2000,8,130.54995124470844,0.034
1951-1960,1971-1980,2,172.2091381255682,0.041
1951-1960,1991-2000,4,143.24900953816874,0.042
1901-1910,1981-1990,8,128.77993280876623,0.044
