,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010
1901-1910,0.0,1.0,0.783,0.671,0.514,0.665,0.658,0.452,0.417,0.659
1911-1920,1.0,0.0,0.578,0.657,0.138,0.682,0.064,0.184,0.244,0.665
1921-1930,0.783,0.578,0.0,0.75,0.308,1.0,0.967,0.877,0.793,0.894
1931-1940,0.671,0.657,0.75,0.0,0.409,1.0,0.607,0.618,0.193,0.664
1941-1950,0.514,0.138,0.308,0.409,0.0,0.405,0.228,0.201,0.027,0.408
1951-1960,0.665,0.682,1.0,1.0,0.405,0.0,0.778,0.795,0.795,1.0
1961-1970,0.658,0.064,0.967,0.607,0.228,0.778,0.0,0.451,0.259,0.609
1971-1980,0.452,0.184,0.877,0.618,0.201,0.795,0.451,0.0,0.458,0.663
1981-1990,0.417,0.244,0.793,0.193,0.027,0.795,0.259,0.458,0.0,0.47
2001-2010,0.659,0.665,0.894,0.664,0.408,1.0,0.609,0.663,0.47,0.0
