timespan_1,timespan_2,distance,drift_magnitude,p_value
1901-1910,1911-1920,1,5.946659139030816,0.0
1901-1910,1951-1960,5,6.795850524376503,0.0
1911-1920,1981-1990,7,7.439220387434535,0.0
1911-1920,2001-2010,9,7.610952309034252,0.002
1911-1920,1971-1980,6,7.712792225198841,0.004
1901-1910,1971-1980,7,7.6514039877450175,0.005
1901-1910,2011-2018,11,6.177913794045485,0.007
1901-1910,1931-1940,3,6.278983751096832,0.007
1901-1910,2001-2010,10,7.405792643647969,0.009
1911-1920,1951-1960,4,5.927434945905688,0.009
1901-1910,1981-1990,8,6.617549356327328,0.012
1911-1920,1931-1940,2,5.406208438381904,0.021
1911-1920,2011-2018,10,5.450789890655517,0.026
1971-1980,2011-2018,4,7.3330390345696195,0.03
1901-1910,1921-1930,2,6.793597411949069,0.044
