event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1971-1980,4.943390676278908,0.027,7,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
1,1901-1910,1991-2000,4.768983625614071,0.001,9,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
2,1901-1910,2001-2010,4.696079323457955,0.007,10,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
3,1901-1910,2011-2018,5.398858776087037,0.002,11,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
4,1911-1920,2011-2018,4.474215512894113,0.047,10,"1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
5,1921-1930,1941-1950,4.192786274516429,0.046,2,"1931-1940,1941-1950",sudden_shift
6,1931-1940,2011-2018,4.419884939445509,0.039,8,"1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
7,1941-1950,1971-1980,5.392175157735407,0.009,3,"1951-1960,1961-1970,1971-1980",sudden_shift
8,1941-1950,1991-2000,4.384491161492489,0.044,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
9,1941-1950,2011-2018,5.500200067913638,0.003,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
