timespan_1,timespan_2,distance,drift_magnitude,p_value
1931-1940,2001-2010,7,5.6123717637856165,0.0
1961-1970,2001-2010,4,4.756589586433704,0.001
1951-1960,2001-2010,5,4.336668447476214,0.006
1971-1980,2001-2010,3,4.4575415867556085,0.007
1931-1940,1981-1990,5,3.7562333734926048,0.011
1941-1950,2001-2010,6,4.08418487923514,0.016
1961-1970,2011-2018,5,4.227774158949471,0.023
1951-1960,2011-2018,6,4.184334264212118,0.026
1971-1980,1981-1990,1,3.2822898529596727,0.037
1931-1940,1951-1960,2,3.6804211114845042,0.038
1931-1940,1971-1980,4,3.4644632082696902,0.043
1921-1930,1931-1940,1,4.151324967418993,0.047
1921-1930,1951-1960,3,3.45243701930676,0.048
