synset,lexeme,from_timespan,to_timespan,wasserstein,kl_divergence
s6029,klappe,1901-1910,1911-1920,0.04224478918694439,0.14647040449507326
s6029,klappe,1911-1920,1921-1930,0.028156767478729947,0.18514995149637117
s6029,klappe,1921-1930,1931-1940,0.005362844572764897,0.2898406586148702
s6029,klappe,1931-1940,1941-1950,0.0034588208635495054,0.25702904505090146
s6029,klappe,1941-1950,1951-1960,0.015459919325101597,0.148652584832922
s6029,klappe,1951-1960,1961-1970,0.031728478611374004,1.4649115250714775
s6029,klappe,1961-1970,1971-1980,0.006870560988002914,0.24096607172786386
s6029,klappe,1971-1980,1981-1990,0.00391068099365101,0.20221729923337003
s6029,klappe,1981-1990,1991-2000,0.015371097911026208,0.1366842828706771
s6029,klappe,1991-2000,2001-2010,0.006091190120330515,0.2137181906832394
