,1921-1930,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1921-1930,0.0,0.305,0.135,0.07,0.323,0.091,0.276,0.266
1951-1960,0.305,0.0,0.192,0.199,0.331,0.148,0.185,0.188
1961-1970,0.135,0.192,0.0,0.205,0.652,0.467,0.228,0.194
1971-1980,0.07,0.199,0.205,0.0,0.852,0.485,0.308,0.203
1981-1990,0.323,0.331,0.652,0.852,0.0,0.815,0.665,0.453
1991-2000,0.091,0.148,0.467,0.485,0.815,0.0,0.643,0.351
2001-2010,0.276,0.185,0.228,0.308,0.665,0.643,0.0,0.877
2011-2018,0.266,0.188,0.194,0.203,0.453,0.351,0.877,0.0
