,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018
1901-1910,0.0,0.549,0.889,0.362,0.651,0.095,0.08,0.35,0.196,0.663,0.408
1911-1920,0.549,0.0,0.464,0.159,0.401,0.015,0.051,0.123,0.119,0.376,0.234
1921-1930,0.889,0.464,0.0,0.352,0.522,0.558,0.016,0.283,0.026,0.542,0.141
1931-1940,0.362,0.159,0.352,0.0,0.759,0.162,0.048,0.936,0.149,0.399,0.465
1941-1950,0.651,0.401,0.522,0.759,0.0,0.04,0.084,0.735,0.139,0.926,0.575
1951-1960,0.095,0.015,0.558,0.162,0.04,0.0,0.004,0.382,0.041,0.114,0.173
1961-1970,0.08,0.051,0.016,0.048,0.084,0.004,0.0,0.063,0.631,0.025,0.213
1971-1980,0.35,0.123,0.283,0.936,0.735,0.382,0.063,0.0,0.236,0.615,0.49
1981-1990,0.196,0.119,0.026,0.149,0.139,0.041,0.631,0.236,0.0,0.128,0.486
2001-2010,0.663,0.376,0.542,0.399,0.926,0.114,0.025,0.615,0.128,0.0,0.464
2011-2018,0.408,0.234,0.141,0.465,0.575,0.173,0.213,0.49,0.486,0.464,0.0
