event_id,transition_from,transition_to,drift_magnitude,p_value,impact_duration,affected_timespans,event_type
0,1901-1910,1911-1920,6.235794569072682,0.007,11,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",consecutive
1,1911-1920,1921-1930,11.330281882664526,0.002,1,1921-1930,consecutive
2,1921-1930,1941-1950,11.205174775275523,0.008,2,"1931-1940,1941-1950",sudden_shift
3,1921-1930,1951-1960,11.526841824611632,0.0,3,"1931-1940,1941-1950,1951-1960",sudden_shift
4,1921-1930,1961-1970,11.65736143095408,0.006,4,"1931-1940,1941-1950,1951-1960,1961-1970",sudden_shift
5,1921-1930,1971-1980,11.67187665235438,0.017,5,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980",sudden_shift
6,1921-1930,1981-1990,11.631295295407947,0.003,6,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",sudden_shift
7,1921-1930,1991-2000,11.688804196281732,0.001,7,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
8,1921-1930,2001-2010,11.130165536479302,0.006,8,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
9,1921-1930,2011-2018,11.432684245636889,0.027,9,"1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
10,1941-1950,1961-1970,7.767460388185709,0.015,2,"1951-1960,1961-1970",sudden_shift
11,1941-1950,1991-2000,8.375352159790086,0.004,5,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",sudden_shift
12,1941-1950,2001-2010,7.6479050078704205,0.001,6,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
13,1941-1950,2011-2018,7.935382284858557,0.02,7,"1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
14,1951-1960,2001-2010,7.192323321414123,0.006,5,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
15,1951-1960,2011-2018,7.819183567090766,0.047,6,"1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
16,1961-1970,1991-2000,8.83578317899757,0.003,3,"1971-1980,1981-1990,1991-2000",sudden_shift
17,1961-1970,2001-2010,8.273048134491976,0.0,4,"1971-1980,1981-1990,1991-2000,2001-2010",sudden_shift
18,1961-1970,2011-2018,8.622248410821879,0.023,5,"1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",sudden_shift
