,1901-1910,1911-1920,1921-1930,1931-1940,1941-1950,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1901-1910,0.0,0.697,1.0,0.299,0.307,1.0,1.0,0.663,0.329,0.442,0.512
1911-1920,0.697,0.0,0.899,0.416,0.406,0.496,0.486,0.303,0.21,0.709,0.422
1921-1930,1.0,0.899,0.0,0.441,0.405,0.658,0.656,0.351,0.35,0.624,0.619
1931-1940,0.299,0.416,0.441,0.0,0.409,0.517,0.742,1.0,0.246,0.525,0.394
1941-1950,0.307,0.406,0.405,0.409,0.0,0.225,0.252,0.291,0.059,0.109,0.135
1961-1970,1.0,0.496,0.658,0.517,0.225,0.0,1.0,0.677,0.371,0.604,0.582
1971-1980,1.0,0.486,0.656,0.742,0.252,1.0,0.0,1.0,0.8,0.935,0.563
1981-1990,0.663,0.303,0.351,1.0,0.291,0.677,1.0,0.0,0.296,0.66,0.555
1991-2000,0.329,0.21,0.35,0.246,0.059,0.371,0.8,0.296,0.0,0.29,0.129
2001-2010,0.442,0.709,0.624,0.525,0.109,0.604,0.935,0.66,0.29,0.0,0.542
2011-2018,0.512,0.422,0.619,0.394,0.135,0.582,0.563,0.555,0.129,0.542,0.0
