,1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018
1911-1920,0.0,1.0,0.259,1.0,0.666,0.67,1.0,0.629,0.576,0.421,0.348
1921-1930,1.0,0.0,0.33,1.0,0.331,0.645,0.315,0.646,0.255,0.294,0.272
1931-1940,0.259,0.33,0.0,0.612,0.057,0.134,0.072,0.173,0.017,0.035,0.051
1941-1950,1.0,1.0,0.612,0.0,0.702,0.672,0.664,0.693,0.474,0.539,0.538
1951-1960,0.666,0.331,0.057,0.702,0.0,0.671,0.662,0.515,0.122,0.076,0.082
1961-1970,0.67,0.645,0.134,0.672,0.671,0.0,0.679,0.826,0.687,0.792,0.837
1971-1980,1.0,0.315,0.072,0.664,0.662,0.679,0.0,0.288,0.597,0.414,0.221
1981-1990,0.629,0.646,0.173,0.693,0.515,0.826,0.288,0.0,0.138,0.11,0.535
1991-2000,0.576,0.255,0.017,0.474,0.122,0.687,0.597,0.138,0.0,0.646,0.411
2001-2010,0.421,0.294,0.035,0.539,0.076,0.792,0.414,0.11,0.646,0.0,0.442
2011-2018,0.348,0.272,0.051,0.538,0.082,0.837,0.221,0.535,0.411,0.442,0.0
