,1901-1910,1911-1920,1961-1970,1971-1980,1981-1990,1991-2000
1901-1910,0.0,0.369,0.359,1.0,0.794,0.223
1911-1920,0.369,0.0,0.83,1.0,0.745,0.283
1961-1970,0.359,0.83,0.0,1.0,1.0,0.485
1971-1980,1.0,1.0,1.0,0.0,1.0,1.0
1981-1990,0.794,0.745,1.0,1.0,0.0,1.0
1991-2000,0.223,0.283,0.485,1.0,1.0,0.0
