,1911-1920,1931-1940,1941-1950,1971-1980
1911-1920,0.0,0.213,0.406,1.0
1931-1940,0.213,0.0,0.466,0.197
1941-1950,0.406,0.466,0.0,0.382
1971-1980,1.0,0.197,0.382,0.0
