lexeme,synset,has_consecutive_test,consecutive_pvalue,consecutive_significant,has_pairwise_test,num_significant_pairs,max_drift_magnitude,min_pvalue,num_drift_events,max_impact_duration,total_timespans,drift_event_types,affected_timespans,result_path,num_dimensions,any_significant
block,s107180,True,0.01,True,True,28,10.467584039904866,0.0,9,6,18,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/block/s107180,1024.0,True
block,s9544,True,0.019,True,True,22,21.45340129846262,0.0,6,4,14,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/block/s9544,1024.0,True
klappe,s110889,True,0.358,False,True,1,15.821996851904164,0.04,1,3,2,sudden_shift,"1931-1940,1941-1950,1951-1960",results/BGE-M3/lexemes/klappe/s110889,1024.0,True
klappe,s6029,True,0.002,True,True,24,7.432123610139547,0.0,8,11,16,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/klappe/s6029,1024.0,True
klappe,s25993,True,0.008,True,True,49,6.144277889415334,0.0,8,9,18,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/klappe/s25993,1024.0,True
pinsel,s8330,True,0.0,False,True,35,8.916980655299833,0.0,6,6,17,"consecutive,sudden_shift","1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,2001-2010,2011-2018",results/BGE-M3/lexemes/pinsel/s8330,1024.0,True
maske,s106689,True,0.022,True,True,10,8.068843319621283,0.001,8,7,12,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990",results/BGE-M3/lexemes/maske/s106689,1024.0,True
decke,s10206,True,0.125,False,True,15,7.041461711119887,0.001,3,5,10,"consecutive,sudden_shift","1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,2001-2010,2011-2018",results/BGE-M3/lexemes/decke/s10206,1024.0,True
decke,s73206,True,0.531,False,True,3,14.84174555255145,0.022,3,4,4,sudden_shift,"1951-1960,1961-1970,1971-1980,1981-1990",results/BGE-M3/lexemes/decke/s73206,1024.0,True
decke,s7419,True,0.362,False,True,10,8.95597205725735,0.001,8,8,12,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000",results/BGE-M3/lexemes/decke/s7419,1024.0,True
pflaster,s7930,True,0.275,False,True,12,13.500957325196708,0.0,5,8,11,"consecutive,sudden_shift","1911-1920,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/pflaster/s7930,1024.0,True
pflaster,s47771,True,0.011,True,True,34,5.157449671299235,0.0,5,3,18,"consecutive,sudden_shift","1911-1920,1921-1930,1931-1940,1941-1950,1991-2000,2001-2010",results/BGE-M3/lexemes/pflaster/s47771,1024.0,True
virus,s50968,True,0.0,False,True,59,5.951755526846335,0.0,7,11,20,consecutive,"1911-1920,1921-1930,1931-1940,1941-1950,1951-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/virus/s50968,1024.0,True
virus,s64010,True,0.004,True,True,13,25.86377956796372,0.0,4,3,10,consecutive,"1981-1990,1991-2000,2001-2010,2011-2018",results/BGE-M3/lexemes/virus/s64010,1024.0,True
